beta_start,alternative_pacc,beta_k,q,steps_per_temperature,threshold,threshold_acceptanc_rate,final_steps_to_convergence,final_path_distance,final_beta_value
1,False,2.6889717076991014e+22,0.8,2500,5e-05,0.1,89,7.180877714167838,2.6889717076991014e+22
1,True,1.1553778266227484e+80,0.8,2500,5e-05,0.1,31,9.055507655671498,1.1553778266227484e+80
1,False,193.1372294399582,0.8,5000,5e-05,0.1,3145,8.163089627632328,193.1372294399582
1,True,7.611933587474831e+59,0.8,5000,5e-05,0.1,1775,8.874511063979623,7.611933587474831e+59
1,False,3.641750499002456e+93,0.8,7500,5e-05,0.1,7500,7.090217668452117,3.641750499002456e+93
1,True,1.232124000614062e+57,0.8,7500,5e-05,0.1,781,6.739343978660664,1.232124000614062e+57
1,False,3.641750499002456e+93,0.8,10000,5e-05,0.1,10000,8.69292389809494,3.641750499002456e+93
1,True,3.641750499002456e+93,0.8,10000,5e-05,0.1,10000,7.334268643542529,3.641750499002456e+93
1,False,4.97665196323224e+62,0.8,12500,5e-05,0.1,1185,7.964939658357224,4.97665196323224e+62
1,True,4416444896975.441,0.8,12500,5e-05,0.1,197,8.347001561475992,4416444896975.441
1,False,6.298246040070626e+122,1.05,2500,5e-05,0.1,2500,6.92898182385856,6.298246040070626e+122
1,True,6.298246040070626e+122,1.05,2500,5e-05,0.1,2500,7.870841939841324,6.298246040070626e+122
1,False,6.104076548941508e+38,1.05,5000,5e-05,0.1,311,8.046188623288954,6.104076548941508e+38
1,True,5.926403164904495e+89,1.05,5000,5e-05,0.1,101,9.38865757784413,5.926403164904495e+89
1,False,28.13337297130195,1.05,7500,5e-05,0.1,3046,8.780501382282576,28.13337297130195
1,True,8.696597138661446e+17,1.05,7500,5e-05,0.1,301,7.170046598500616,8.696597138661446e+17
1,False,1301229235.535851,1.05,10000,5e-05,0.1,115,9.713717459396571,1301229235.535851
1,True,5.0959905749096655e+67,1.05,10000,5e-05,0.1,1228,7.739773272873602,5.0959905749096655e+67
1,False,6.298246040070626e+122,1.05,12500,5e-05,0.1,12500,7.448990084433705,6.298246040070626e+122
1,True,28.13337297130195,1.05,12500,5e-05,0.1,1254,8.731270166578474,28.13337297130195
1,False,1931.6674909203539,1.15,2500,5e-05,0.1,918,9.035618289707866,1931.6674909203539
1,True,3.1216441602887865e+134,1.15,2500,5e-05,0.1,2500,7.871388967561558,3.1216441602887865e+134
1,False,38.65831566378994,1.15,5000,5e-05,0.1,601,10.91802976584186,38.65831566378994
1,True,3.875156527292875e+62,1.15,5000,5e-05,0.1,161,6.690504372229522,3.875156527292875e+62
1,False,38.65831566378994,1.15,7500,5e-05,0.1,3487,8.822830846818576,38.65831566378994
1,True,8.976215356876264e+56,1.15,7500,5e-05,0.1,192,9.010160854653877,8.976215356876264e+56
1,False,3.1216441602887865e+134,1.15,10000,5e-05,0.1,10000,7.507268936734107,3.1216441602887865e+134
1,True,2083111578473484.0,1.15,10000,5e-05,0.1,901,9.564496905443985,2083111578473484.0
1,False,38.65831566378994,1.15,12500,5e-05,0.1,5234,7.67861666012169,38.65831566378994
1,True,5.416625281568794e+16,1.15,12500,5e-05,0.1,906,8.20746399263293,5.416625281568794e+16
1,False,6.5649565876393675e+47,1.35,2500,5e-05,0.1,184,6.657424132432514,6.5649565876393675e+47
1,True,7.668509199927321e+157,1.35,2500,5e-05,0.1,2500,8.946269395765377,7.668509199927321e+157
1,False,99605.0193554871,1.35,5000,5e-05,0.1,185,9.549079196124318,99605.0193554871
1,True,11.233218021148659,1.35,5000,5e-05,0.1,4305,9.925069740859616,11.233218021148659
1,False,641.05410001317,1.35,7500,5e-05,0.1,419,9.44697807406868,641.05410001317
1,True,4.038910975432763e+26,1.35,7500,5e-05,0.1,160,9.54221601004146,4.038910975432763e+26
